id,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
1,Italian,Expensive,Bronx,11am-9pm,2.6,false
2,Mexican,Cheap,Bronx,11am-9pm,1.1,false
3,Chinese,Medium,Bronx,11am-9pm,2.0,false
4,Mexican,Expensive,Manhattan,8am-10pm,4.1,true
5,American,Expensive,Bronx,11am-9pm,5.0,true
6,American,Expensive,Staten Island,11am-9pm,3.4,true
7,Mexican,Expensive,Queens,5pm-11pm,4.0,true
8,Mexican,Medium,Staten Island,5pm-11pm,2.0,false
9,Chinese,Cheap,Queens,11am-9pm,4.7,false
10,Chinese,Cheap,Staten Island,8am-10pm,1.7,true
11,Italian,Expensive,Bronx,11am-9pm,2.7,true
12,American,Cheap,Queens,11am-9pm,2.0,false
13,Italian,Cheap,Staten Island,11am-9pm,3.8,false
14,Chinese,Medium,Bronx,11am-9pm,4.5,false
15,Chinese,Cheap,Staten Island,5pm-11pm,3.6,true
16,American,Medium,Brooklyn,8am-10pm,1.5,true
17,Chinese,Cheap,Queens,11am-9pm,3.6,false
18,Italian,Medium,Bronx,11am-9pm,3.2,false
19,Italian,Cheap,Queens,11am-9pm,3.0,false
20,Italian,Expensive,Staten Island,11am-9pm,4.2,true
21,Italian,Medium,Bronx,5pm-11pm,2.1,false
22,Italian,Cheap,Brooklyn,11am-9pm,1.7,false
23,Japanese,Medium,Manhattan,5pm-11pm,3.1,false
24,American,Cheap,Brooklyn,8am-10pm,1.6,true
25,Italian,Medium,Manhattan,8am-10pm,3.2,true
26,Mexican,Medium,Queens,8am-10pm,4.3,true
27,Chinese,Cheap,Manhattan,5pm-11pm,2.6,false
28,Italian,Medium,Manhattan,11am-9pm,2.1,false
29,Mexican,Expensive,Manhattan,8am-10pm,3.9,true
30,Mexican,Expensive,Staten Island,11am-9pm,1.2,true
31,American,Expensive,Queens,11am-9pm,2.1,true
32,Italian,Medium,Brooklyn,11am-9pm,1.0,false
33,Chinese,Cheap,Staten Island,5pm-11pm,2.2,false
34,Mexican,Medium,Bronx,8am-10pm,3.4,false
35,American,Medium,Bronx,5pm-11pm,1.8,true
36,Italian,Expensive,Manhattan,5pm-11pm,4.8,true
37,Chinese,Medium,Manhattan,8am-10pm,4.3,true
38,Japanese,Medium,Manhattan,11am-9pm,2.4,false
39,Italian,Cheap,Brooklyn,8am-10pm,2.3,true
40,American,Expensive,Bronx,11am-9pm,3.3,true
41,Italian,Cheap,Queens,11am-9pm,1.1,true
42,Mexican,Expensive,Brooklyn,11am-9pm,4.1,false
43,Japanese,Expensive,Staten Island,11am-9pm,4.3,true
44,Mexican,Cheap,Staten Island,5pm-11pm,4.6,false
45,Japanese,Expensive,Queens,11am-9pm,4.1,true
46,Chinese,Expensive,Staten Island,5pm-11pm,2.5,true
47,Chinese,Medium,Staten Island,11am-9pm,2.2,false
48,Chinese,Cheap,Manhattan,8am-10pm,1.3,true
49,Mexican,Medium,Brooklyn,8am-10pm,4.7,false
50,Italian,Cheap,Brooklyn,11am-9pm,4.9,false
51,Mexican,Medium,Bronx,5pm-11pm,1.0,false
52,Mexican,Cheap,Staten Island,11am-9pm,1.6,false
53,Chinese,Medium,Queens,5pm-11pm,3.3,true
54,Mexican,Medium,Brooklyn,8am-10pm,4.6,true
55,Italian,Cheap,Brooklyn,5pm-11pm,2.7,false
56,Chinese,Medium,Brooklyn,11am-9pm,4.4,false
57,Italian,Medium,Brooklyn,5pm-11pm,1.7,true
58,Italian,Medium,Brooklyn,11am-9pm,3.0,false
59,Chinese,Medium,Brooklyn,5pm-11pm,4.5,false
60,American,Medium,Bronx,11am-9pm,3.2,true
61,Japanese,Expensive,Staten Island,11am-9pm,1.7,true
62,Italian,Medium,Queens,8am-10pm,4.3,false
63,Italian,Cheap,Queens,5pm-11pm,4.5,false
64,Italian,Expensive,Brooklyn,8am-10pm,4.9,true
65,Japanese,Medium,Brooklyn,11am-9pm,2.6,false
66,Mexican,Medium,Queens,5pm-11pm,4.3,false
67,American,Expensive,Bronx,8am-10pm,3.3,false
68,Mexican,Cheap,Brooklyn,8am-10pm,2.0,true
69,Chinese,Medium,Brooklyn,11am-9pm,3.7,false
70,Chinese,Medium,Manhattan,8am-10pm,3.2,false
71,Mexican,Cheap,Staten Island,5pm-11pm,3.7,true
72,Japanese,Expensive,Bronx,8am-10pm,4.7,true
73,American,Cheap,Staten Island,5pm-11pm,3.8,true
74,Chinese,Expensive,Brooklyn,11am-9pm,2.2,true
75,Mexican,Cheap,Bronx,5pm-11pm,3.2,true
76,Italian,Expensive,Manhattan,8am-10pm,3.0,true
77,Mexican,Medium,Manhattan,5pm-11pm,2.5,false
78,American,Medium,Bronx,5pm-11pm,3.2,false
79,American,Medium,Bronx,11am-9pm,2.5,false
80,Italian,Medium,Manhattan,11am-9pm,2.1,true
81,American,Cheap,Brooklyn,11am-9pm,2.0,true
82,Chinese,Cheap,Staten Island,5pm-11pm,2.5,true
83,Italian,Cheap,Staten Island,5pm-11pm,3.2,false
84,Chinese,Cheap,Brooklyn,5pm-11pm,2.6,true
85,Mexican,Medium,Queens,11am-9pm,3.1,true
86,Mexican,Expensive,Brooklyn,5pm-11pm,4.6,true
87,Chinese,Cheap,Brooklyn,8am-10pm,1.5,false
88,Mexican,Medium,Bronx,5pm-11pm,2.4,true
89,Chinese,Medium,Staten Island,5pm-11pm,1.8,false
90,Japanese,Medium,Staten Island,11am-9pm,3.6,false
91,American,Medium,Manhattan,5pm-11pm,2.6,true
92,Italian,Cheap,Manhattan,11am-9pm,2.5,false
93,Chinese,Cheap,Queens,8am-10pm,2.1,true
94,Italian,Medium,Bronx,5pm-11pm,1.9,true
95,Mexican,Cheap,Manhattan,8am-10pm,1.4,false
96,Chinese,Cheap,Brooklyn,5pm-11pm,1.6,false
97,Chinese,Medium,Staten Island,11am-9pm,2.2,false
98,Mexican,Medium,Bronx,8am-10pm,3.2,false
99,Japanese,Medium,Manhattan,8am-10pm,4.0,true
